"search","metric","difference",".lower",".upper",".width",".point",".interval"
"bfs - dfs","confidence.ans",-0.0624949494949495,-0.363636363636363,0.234848484848484,0.95,"mean","qi"
"bfs - dfs","confidence.udata",0.046510101010101,-0.272727272727273,0.371212121212121,0.95,"mean","qi"
"bfs - dfs","confidence.ans",-0.0624949494949495,-0.166666666666667,0.0454545454545454,0.5,"mean","qi"
"bfs - dfs","confidence.udata",0.046510101010101,-0.0681818181818183,0.159090909090909,0.5,"mean","qi"
"bfs - dfs","overall",0.342772727272727,-0.144128787878787,0.825757575757576,0.95,"mean","qi"
"bfs - dfs","utility",0.533457070707071,-0.0227272727272725,1.07575757575758,0.95,"mean","qi"
"bfs - dfs","ease.of.use",0.579964646464647,0.151515151515151,1.03030303030303,0.95,"mean","qi"
"bfs - dfs","efficiency",0.669366161616162,0.0757575757575757,1.24242424242424,0.95,"mean","qi"
"bfs - dfs","overall",0.342772727272727,0.189393939393939,0.507575757575757,0.5,"mean","qi"
"bfs - dfs","utility",0.533457070707071,0.348484848484849,0.727272727272727,0.5,"mean","qi"
"bfs - dfs","ease.of.use",0.579964646464647,0.431818181818182,0.71969696969697,0.5,"mean","qi"
"bfs - dfs","efficiency",0.669366161616162,0.46969696969697,0.871212121212121,0.5,"mean","qi"
