"search","oracle",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql",89.402743762176,69.8881630561088,109.388722107109,0.95,"mean","qi"
"bfs","dziban",99.1295637197569,79.3636223854421,118.905741154613,0.95,"mean","qi"
"dfs","compassql",58.4391838324554,38.4916928398771,77.8112612701991,0.95,"mean","qi"
"dfs","dziban",98.6917754167694,78.6990218035395,118.171983470126,0.95,"mean","qi"
"bfs","compassql",89.402743762176,81.7769113401652,97.0285468243399,0.5,"mean","qi"
"bfs","dziban",99.1295637197569,91.5978077370985,106.72567394356,0.5,"mean","qi"
"dfs","compassql",58.4391838324554,51.0245972668106,66.1183164321669,0.5,"mean","qi"
"dfs","dziban",98.6917754167694,91.1900834038893,106.407782996722,0.5,"mean","qi"
