participant_id,dataset,oracle,search,condition,task,task_type,time
partcipant18,birdstrikes,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,190595
partcipant50,birdstrikes,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,733951
partcipant46,movies,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,87353
partcipant51,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,146532
partcipant19,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,196136
partcipant1,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,130713
partcipant55,movies,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,180368
partcipant57,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,794259
partcipant7,movies,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,670009
partcipant56,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,751604
partcipant6,birdstrikes,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,597295
partcipant38,movies,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,289185
partcipant15,movies,dziban,dfs,dziban_dfs,1. Find Extremum,Focused,124763
partcipant58,birdstrikes,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,311761
partcipant10,birdstrikes,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,366251
partcipant36,birdstrikes,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,850893
partcipant41,movies,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,895906
partcipant5,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,659498
partcipant53,movies,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,664562
partcipant12,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,286290
partcipant48,birdstrikes,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,156766
partcipant44,movies,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,847375
partcipant18,birdstrikes,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,898077
partcipant24,movies,compassql,bfs,compassql_bfs,2. Retrieve Value,Focused,243659
partcipant16,birdstrikes,dziban,dfs,dziban_dfs,3. Prediction,Open-Ended,413259
partcipant2,birdstrikes,compassql,bfs,compassql_bfs,1. Find Extremum,Focused,365038
partcipant37,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,171549
partcipant8,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,880304
partcipant55,movies,compassql,dfs,compassql_dfs,4. Exploration,Open-Ended,410176
partcipant51,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,440702
partcipant33,birdstrikes,dziban,bfs,dziban_bfs,3. Prediction,Open-Ended,610181
partcipant20,birdstrikes,compassql,dfs,compassql_dfs,3. Prediction,Open-Ended,286541
partcipant13,birdstrikes,dziban,bfs,dziban_bfs,2. Retrieve Value,Focused,181251
partcipant41,movies,dziban,bfs,dziban_bfs,1. Find Extremum,Focused,232085
partcipant36,birdstrikes,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,176562
partcipant40,birdstrikes,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,241323
partcipant15,movies,dziban,dfs,dziban_dfs,4. Exploration,Open-Ended,860832
partcipant45,movies,compassql,dfs,compassql_dfs,2. Retrieve Value,Focused,352708
partcipant58,birdstrikes,dziban,bfs,dziban_bfs,4. Exploration,Open-Ended,782013
partcipant6,birdstrikes,compassql,dfs,compassql_dfs,1. Find Extremum,Focused,189291
partcipant25,birdstrikes,dziban,dfs,dziban_dfs,2. Retrieve Value,Focused,354573
partcipant29,movies,compassql,bfs,compassql_bfs,3. Prediction,Open-Ended,529649
