"search","oracle",".value",".lower",".upper",".width",".point",".interval"
"bfs","compassql",25.1349666722705,18.3779230346618,32.304064314496,0.95,"mean","qi"
"bfs","dziban",27.6817463070899,20.6048100014726,34.5080845994571,0.95,"mean","qi"
"dfs","compassql",23.3876116950985,16.5429761430606,30.3673361755885,0.95,"mean","qi"
"dfs","dziban",26.0479196598627,18.7655554774745,33.110295814733,0.95,"mean","qi"
"bfs","compassql",25.1349666722705,22.6997331203405,27.5347143046691,0.5,"mean","qi"
"bfs","dziban",27.6817463070899,25.2285356298482,30.1898103069355,0.5,"mean","qi"
"dfs","compassql",23.3876116950985,20.7685829882048,25.876622252185,0.5,"mean","qi"
"dfs","dziban",26.0479196598627,23.5330137753854,28.6160965135819,0.5,"mean","qi"
