"oracle","dataset","task","diff",".lower",".upper",".width",".point",".interval"
"dziban - compassql","birdstrikes","3. Prediction",1.39521444657524,-6.29060357515783,8.82339756381424,0.95,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",1.52521471581132,-5.91202526940659,8.86085866994317,0.95,"mean","qi"
"dziban - compassql","movies","3. Prediction",1.53778844907276,-5.88367883354236,9.04255130538993,0.95,"mean","qi"
"dziban - compassql","movies","4. Exploration",1.62046833106822,-5.60308751546222,9.11982014846482,0.95,"mean","qi"
"dziban - compassql","birdstrikes","3. Prediction",1.39521444657524,-1.19753362543557,3.84420448595622,0.5,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",1.52521471581132,-1.16655448714566,4.27713144951939,0.5,"mean","qi"
"dziban - compassql","movies","3. Prediction",1.53778844907276,-1.0149829689338,4.04285481687945,0.5,"mean","qi"
"dziban - compassql","movies","4. Exploration",1.62046833106822,-0.995031883460912,4.09397650491206,0.5,"mean","qi"
