"search","dataset","task","diff",".lower",".upper",".width",".point",".interval"
"dfs - bfs","birdstrikes","3. Prediction",-0.878092149599113,-8.56836120515957,6.76031960337013,0.95,"mean","qi"
"dfs - bfs","birdstrikes","4. Exploration",-0.84975477600292,-8.48161478933346,6.97534279975341,0.95,"mean","qi"
"dfs - bfs","movies","3. Prediction",-0.97036385982102,-8.21388253910387,6.54177311143681,0.95,"mean","qi"
"dfs - bfs","movies","4. Exploration",-0.863100588500715,-8.18885460326635,6.42742570699637,0.95,"mean","qi"
"dfs - bfs","birdstrikes","3. Prediction",-0.878092149599113,-3.37686768090764,1.58417037851873,0.5,"mean","qi"
"dfs - bfs","birdstrikes","4. Exploration",-0.84975477600292,-3.49857914471572,1.79406556223494,0.5,"mean","qi"
"dfs - bfs","movies","3. Prediction",-0.97036385982102,-3.63795588425599,1.54164633692001,0.5,"mean","qi"
"dfs - bfs","movies","4. Exploration",-0.863100588500715,-3.34155403859869,1.62334803642558,0.5,"mean","qi"
