"oracle","task","difference",".lower",".upper",".width",".point",".interval"
"dziban - compassql","3. Prediction",0.5986819331331,-3.30400098328238,4.41572836552402,0.95,"mean","qi"
"dziban - compassql","4. Exploration",0.671351206912755,-3.66838291728798,4.97675174446667,0.95,"mean","qi"
"dziban - compassql","3. Prediction",0.5986819331331,-0.629389774951282,1.8484179950189,0.5,"mean","qi"
"dziban - compassql","4. Exploration",0.671351206912755,-0.694362805887918,2.09360452368801,0.5,"mean","qi"
