"search","task","difference",".lower",".upper",".width",".point",".interval"
"bfs - dfs","3. Prediction",15.370088765659,3.85686317185781,27.2241330206922,0.95,"mean","qi"
"bfs - dfs","4. Exploration",18.5648007195166,4.42907711119932,33.0374996741171,0.95,"mean","qi"
"bfs - dfs","3. Prediction",15.370088765659,11.4351011365041,19.3421227746936,0.5,"mean","qi"
"bfs - dfs","4. Exploration",18.5648007195166,13.7810422853784,23.3858332233096,0.5,"mean","qi"
