"oracle","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"dziban - compassql","birdstrikes","3. Prediction",15.414667201554,4.88585350415193,26.853650644765,0.95,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",18.5978748340866,5.86314209124776,32.4721163439812,0.95,"mean","qi"
"dziban - compassql","movies","3. Prediction",18.6435763205738,5.88944190939627,32.7887499074024,0.95,"mean","qi"
"dziban - compassql","movies","4. Exploration",22.4865118375503,6.86944049407466,40.0023569914896,0.95,"mean","qi"
"dziban - compassql","birdstrikes","3. Prediction",15.414667201554,11.5445547766956,19.0606511877258,0.5,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",18.5978748340866,13.8454032184913,23.1327229232283,0.5,"mean","qi"
"dziban - compassql","movies","3. Prediction",18.6435763205738,13.8877774771739,23.0221090509112,0.5,"mean","qi"
"dziban - compassql","movies","4. Exploration",22.4865118375503,16.820160143915,27.8678808935364,0.5,"mean","qi"
