"search","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"bfs - dfs","birdstrikes","3. Prediction",13.9178085990904,3.4424354823754,25.0371625077499,0.95,"mean","qi"
"bfs - dfs","birdstrikes","4. Exploration",16.813435081483,4.01391149535059,30.4695615536938,0.95,"mean","qi"
"bfs - dfs","movies","3. Prediction",16.8223689322275,4.05346791125492,29.9515872820221,0.95,"mean","qi"
"bfs - dfs","movies","4. Exploration",20.3161663575503,4.84418087660437,36.4858278069141,0.95,"mean","qi"
"bfs - dfs","birdstrikes","3. Prediction",13.9178085990904,10.2060574705779,17.5386778186877,0.5,"mean","qi"
"bfs - dfs","birdstrikes","4. Exploration",16.813435081483,12.3346280201032,21.2491937092284,0.5,"mean","qi"
"bfs - dfs","movies","3. Prediction",16.8223689322275,12.3993657049009,21.2034598063922,0.5,"mean","qi"
"bfs - dfs","movies","4. Exploration",20.3161663575503,15.0345346937243,25.6638573222579,0.5,"mean","qi"
