"oracle","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"dziban - compassql","birdstrikes","3. Prediction",7.78703987472107,-1.51864671550429,16.7796624207449,0.95,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",9.26606954760151,-1.7606504502144,19.9142425775364,0.95,"mean","qi"
"dziban - compassql","movies","3. Prediction",9.39093689956,-1.87930686970991,20.4246765467855,0.95,"mean","qi"
"dziban - compassql","movies","4. Exploration",11.1746921689784,-2.16501788243198,24.5643309105618,0.95,"mean","qi"
"dziban - compassql","birdstrikes","3. Prediction",7.78703987472107,4.83557317090946,10.729526800424,0.5,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",9.26606954760151,5.77636788691751,12.774108724712,0.5,"mean","qi"
"dziban - compassql","movies","3. Prediction",9.39093689956,5.84226719521533,12.9703064675293,0.5,"mean","qi"
"dziban - compassql","movies","4. Exploration",11.1746921689784,6.99325789229184,15.3937101867533,0.5,"mean","qi"
