"search","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"bfs - dfs","birdstrikes","3. Prediction",11.7455953965658,3.13972882841141,20.711584621213,0.95,"mean","qi"
"bfs - dfs","birdstrikes","4. Exploration",13.9645023759911,3.68017272939247,24.9407472041958,0.95,"mean","qi"
"bfs - dfs","movies","3. Prediction",14.1629202264155,3.83386057266117,24.8534203094645,0.95,"mean","qi"
"bfs - dfs","movies","4. Exploration",16.8389132728267,4.48687434363047,29.7466980539342,0.95,"mean","qi"
"bfs - dfs","birdstrikes","3. Prediction",11.7455953965658,8.51744464480527,14.6843891835941,0.5,"mean","qi"
"bfs - dfs","birdstrikes","4. Exploration",13.9645023759911,10.126947412092,17.5161463364038,0.5,"mean","qi"
"bfs - dfs","movies","3. Prediction",14.1629202264155,10.3899960232617,17.7727463369632,0.5,"mean","qi"
"bfs - dfs","movies","4. Exploration",16.8389132728267,12.2711993128338,21.065683598027,0.5,"mean","qi"
