"search","oracle","rating",".lower",".upper",".width",".point",".interval"
"BFS","CompassQL",1.00957291666667,0.703125,1.28125,0.95,"mean","qi"
"BFS","Dziban",1.15047058823529,0.867647058823529,1.39705882352941,0.95,"mean","qi"
"DFS","CompassQL",1.07726960784314,0.764705882352941,1.35294117647059,0.95,"mean","qi"
"DFS","Dziban",1.214390625,0.921875,1.46875,0.95,"mean","qi"
"BFS","CompassQL",1.00957291666667,0.90625,1.109375,0.5,"mean","qi"
"BFS","Dziban",1.15047058823529,1.05882352941176,1.25,0.5,"mean","qi"
"DFS","CompassQL",1.07726960784314,0.985294117647059,1.19117647058824,0.5,"mean","qi"
"DFS","Dziban",1.214390625,1.125,1.3125,0.5,"mean","qi"
