"search","oracle","rating",".lower",".upper",".width",".point",".interval"
"BFS","CompassQL",1.10858333333333,0.791666666666667,1.41666666666667,0.95,"mean","qi"
"BFS","Dziban",1.10835648148148,0.791666666666667,1.41666666666667,0.95,"mean","qi"
"DFS","CompassQL",0.794,0.444444444444444,1.09722222222222,0.95,"mean","qi"
"DFS","Dziban",1.18717592592593,0.888541666666735,1.48611111111111,0.95,"mean","qi"
"BFS","CompassQL",1.10858333333333,1,1.20833333333333,0.5,"mean","qi"
"BFS","Dziban",1.10835648148148,1,1.22222222222222,0.5,"mean","qi"
"DFS","CompassQL",0.794,0.694444444444444,0.902777777777778,0.5,"mean","qi"
"DFS","Dziban",1.18717592592593,1.08333333333333,1.29166666666667,0.5,"mean","qi"
