"search","oracle","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql",0.557510416666667,-0.015625,1.078125,0.95,"mean","qi"
"bfs","dziban",0.619995098039216,0.0588235294117647,1.11764705882353,0.95,"mean","qi"
"dfs","compassql",-0.20028431372549,-0.720588235294118,0.352941176470588,0.95,"mean","qi"
"dfs","dziban",0.328802083333333,-0.25,0.859375,0.95,"mean","qi"
"bfs","compassql",0.557510416666667,0.375,0.75,0.5,"mean","qi"
"bfs","dziban",0.619995098039216,0.441176470588235,0.808823529411765,0.5,"mean","qi"
"dfs","compassql",-0.20028431372549,-0.397058823529412,-0.0147058823529412,0.5,"mean","qi"
"dfs","dziban",0.328802083333333,0.140625,0.515625,0.5,"mean","qi"
