"search","oracle","rating",".lower",".upper",".width",".point",".interval"
"bfs","compassql",0.684107142857143,0.303571428571429,1.01785714285714,0.95,"mean","qi"
"bfs","dziban",0.735211111111111,0.4,1.06666666666667,0.95,"mean","qi"
"dfs","compassql",0.2828,-0.0833333333333333,0.65,0.95,"mean","qi"
"dfs","dziban",0.554422222222222,0.2,0.9,0.95,"mean","qi"
"bfs","compassql",0.684107142857143,0.571428571428571,0.803571428571429,0.5,"mean","qi"
"bfs","dziban",0.735211111111111,0.616666666666667,0.85,0.5,"mean","qi"
"dfs","compassql",0.2828,0.15,0.416666666666667,0.5,"mean","qi"
"dfs","dziban",0.554422222222222,0.433333333333333,0.683333333333333,0.5,"mean","qi"
