participant_id,participant_group,dataset,oracle,search,task,completion_time
pro10,professional,birdstrikes,dziban,dfs,1. Find Extremum,86.738
stu4,student,movies,dziban,bfs,1. Find Extremum,229.185
pro18,professional,movies,dziban,dfs,3. Prediction,377.597
stu3,student,movies,compassql,dfs,1. Find Extremum,64.071
stu2,student,birdstrikes,compassql,bfs,2. Retrieve Value,157.941
stu7,student,movies,dziban,bfs,2. Retrieve Value,262.809
stu17,student,movies,compassql,bfs,3. Prediction,739.454
stu40,student,birdstrikes,dziban,dfs,2. Retrieve Value,243.737
pro5,professional,movies,dziban,dfs,2. Retrieve Value,374.719
pro12,professional,birdstrikes,dziban,dfs,3. Prediction,315.998
pro24,professional,movies,dziban,dfs,1. Find Extremum,146.532
stu5,student,birdstrikes,compassql,dfs,4. Exploration,597.295
pro9,professional,movies,compassql,dfs,1. Find Extremum,158.68
stu22,student,birdstrikes,dziban,bfs,4. Exploration,363.301
pro1,professional,birdstrikes,compassql,dfs,3. Prediction,849.056
pro15,professional,movies,dziban,bfs,4. Exploration,340.927
stu30,student,movies,dziban,dfs,4. Exploration,597.168
pro20,professional,movies,dziban,bfs,2. Retrieve Value,196.112
stu20,student,birdstrikes,dziban,dfs,3. Prediction,390.969
pro7,professional,birdstrikes,dziban,bfs,4. Exploration,441.893
stu33,student,birdstrikes,compassql,bfs,3. Prediction,289.783
stu18,student,birdstrikes,dziban,bfs,4. Exploration,568.648
stu24,student,movies,compassql,bfs,1. Find Extremum,118.354
stu28,student,birdstrikes,dziban,bfs,3. Prediction,654.838
pro21,professional,movies,dziban,bfs,3. Prediction,785.329
stu29,student,movies,dziban,bfs,3. Prediction,378.74
pro23,professional,movies,compassql,dfs,4. Exploration,434.847
pro4,professional,birdstrikes,compassql,bfs,1. Find Extremum,194.603
stu14,student,birdstrikes,compassql,dfs,4. Exploration,886.577
stu37,student,movies,dziban,dfs,1. Find Extremum,131.425
stu11,student,movies,dziban,dfs,4. Exploration,860.832
stu32,student,birdstrikes,compassql,bfs,2. Retrieve Value,213.068
stu35,student,birdstrikes,dziban,bfs,1. Find Extremum,417.279
pro19,professional,birdstrikes,compassql,dfs,3. Prediction,1445.67
pro15,professional,movies,dziban,bfs,2. Retrieve Value,161.761
stu5,student,birdstrikes,compassql,dfs,2. Retrieve Value,191.305
pro14,professional,birdstrikes,dziban,dfs,1. Find Extremum,229.329
stu22,student,birdstrikes,dziban,bfs,2. Retrieve Value,385.035
stu10,student,movies,compassql,dfs,3. Prediction,977.202
stu2,student,birdstrikes,compassql,bfs,4. Exploration,954.624
stu38,student,movies,compassql,dfs,1. Find Extremum,180.368
stu7,student,movies,dziban,bfs,4. Exploration,829.866
stu26,student,movies,compassql,bfs,3. Prediction,745.93
stu15,student,movies,dziban,bfs,1. Find Extremum,149.612
pro5,professional,movies,dziban,dfs,4. Exploration,880.304
stu40,student,birdstrikes,dziban,dfs,4. Exploration,794.259
stu4,student,movies,dziban,bfs,2. Retrieve Value,241.724
pro10,professional,birdstrikes,dziban,dfs,2. Retrieve Value,190.595
stu1,student,birdstrikes,compassql,bfs,2. Retrieve Value,182.05
stu18,student,birdstrikes,dziban,bfs,1. Find Extremum,210.051
pro7,professional,birdstrikes,dziban,bfs,1. Find Extremum,307.67
stu39,student,movies,dziban,dfs,3. Prediction,665.856
stu30,student,movies,dziban,dfs,1. Find Extremum,127.562
stu37,student,movies,dziban,dfs,4. Exploration,927.655
stu11,student,movies,dziban,dfs,1. Find Extremum,124.763
pro4,professional,birdstrikes,compassql,bfs,4. Exploration,412.116
stu14,student,birdstrikes,compassql,dfs,1. Find Extremum,242.337
stu27,student,birdstrikes,dziban,dfs,3. Prediction,1401.57
stu9,student,birdstrikes,compassql,dfs,2. Retrieve Value,127.336
pro26,professional,birdstrikes,dziban,bfs,2. Retrieve Value,199.194
pro23,professional,movies,compassql,dfs,1. Find Extremum,169.317
stu31,student,movies,dziban,bfs,3. Prediction,473.256
stu24,student,movies,compassql,bfs,4. Exploration,440.362
pro9,professional,movies,compassql,dfs,2. Retrieve Value,103.418
pro14,professional,birdstrikes,dziban,dfs,4. Exploration,729.704
stu21,student,movies,compassql,bfs,3. Prediction,427.959
pro17,professional,movies,compassql,bfs,3. Prediction,529.649
stu35,student,birdstrikes,dziban,bfs,4. Exploration,548.394
pro24,professional,movies,dziban,dfs,2. Retrieve Value,170.892
pro16,professional,birdstrikes,compassql,bfs,3. Prediction,617.546
stu15,student,movies,dziban,bfs,4. Exploration,956.825
pro5,professional,movies,dziban,dfs,1. Find Extremum,378.739
stu40,student,birdstrikes,dziban,dfs,1. Find Extremum,214.771
pro8,professional,movies,compassql,dfs,3. Prediction,671.747
stu3,student,movies,compassql,dfs,2. Retrieve Value,274.449
stu16,student,birdstrikes,compassql,dfs,3. Prediction,993.777
stu7,student,movies,dziban,bfs,1. Find Extremum,399.447
stu12,student,birdstrikes,dziban,dfs,3. Prediction,413.259
stu2,student,birdstrikes,compassql,bfs,1. Find Extremum,299.53
stu38,student,movies,compassql,dfs,4. Exploration,410.176
stu9,student,birdstrikes,compassql,dfs,4. Exploration,878.045
pro26,professional,birdstrikes,dziban,bfs,4. Exploration,782.013
stu32,student,birdstrikes,compassql,bfs,1. Find Extremum,156.766
stu37,student,movies,dziban,dfs,2. Retrieve Value,536.05
pro4,professional,birdstrikes,compassql,bfs,2. Retrieve Value,538.575
pro25,professional,movies,compassql,dfs,3. Prediction,529.69
stu13,student,movies,compassql,dfs,3. Prediction,842.218
stu24,student,movies,compassql,bfs,2. Retrieve Value,91.089
stu36,student,movies,dziban,dfs,3. Prediction,664.562
