participant_id,participant_group,dataset,oracle,search,task,num_exposed_visual_design
stu16,student,birdstrikes,compassql,dfs,4. Exploration,28
stu17,student,movies,compassql,bfs,4. Exploration,87
stu18,student,birdstrikes,dziban,bfs,4. Exploration,82
stu19,student,birdstrikes,dziban,bfs,4. Exploration,122
stu1,student,birdstrikes,compassql,bfs,4. Exploration,104
stu20,student,birdstrikes,dziban,dfs,4. Exploration,14
stu21,student,movies,compassql,bfs,4. Exploration,21
stu22,student,birdstrikes,dziban,bfs,4. Exploration,77
stu23,student,birdstrikes,dziban,dfs,4. Exploration,67
stu24,student,movies,compassql,bfs,4. Exploration,116
stu25,student,movies,compassql,bfs,4. Exploration,90
stu26,student,movies,compassql,bfs,4. Exploration,180
stu27,student,birdstrikes,dziban,dfs,4. Exploration,126
stu28,student,birdstrikes,dziban,bfs,4. Exploration,108
stu29,student,movies,dziban,bfs,4. Exploration,163
stu2,student,birdstrikes,compassql,bfs,4. Exploration,147
stu30,student,movies,dziban,dfs,4. Exploration,130
stu31,student,movies,dziban,bfs,4. Exploration,159
stu32,student,birdstrikes,compassql,bfs,4. Exploration,87
stu33,student,birdstrikes,compassql,bfs,4. Exploration,84
stu34,student,birdstrikes,compassql,dfs,4. Exploration,36
stu35,student,birdstrikes,dziban,bfs,4. Exploration,79
stu36,student,movies,dziban,dfs,4. Exploration,154
stu37,student,movies,dziban,dfs,4. Exploration,149
stu38,student,movies,compassql,dfs,4. Exploration,46
stu39,student,movies,dziban,dfs,4. Exploration,108
stu3,student,movies,compassql,dfs,4. Exploration,41
stu40,student,birdstrikes,dziban,dfs,4. Exploration,66
stu4,student,movies,dziban,bfs,4. Exploration,63
stu5,student,birdstrikes,compassql,dfs,4. Exploration,31
stu6,student,movies,compassql,dfs,4. Exploration,64
stu7,student,movies,dziban,bfs,4. Exploration,68
stu8,student,birdstrikes,compassql,bfs,4. Exploration,90
stu9,student,birdstrikes,compassql,dfs,4. Exploration,52
