participant_id,participant_group,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
pro2,professional,birdstrikes,compassql,bfs,3. Prediction,0,-1,-1,-1,-1,-1
pro7,professional,birdstrikes,dziban,bfs,3. Prediction,0,1,1,0,1,1
pro18,professional,movies,dziban,dfs,2. Retrieve Value,1,1,0,0,0,-1
stu30,student,movies,dziban,dfs,2. Retrieve Value,1,2,0,1,1,1
stu1,student,birdstrikes,compassql,bfs,2. Retrieve Value,0,1,-1,0,-1,-1
stu33,student,birdstrikes,compassql,bfs,1. Find Extremum,1,2,2,1,2,0
pro25,professional,movies,compassql,dfs,1. Find Extremum,2,2,1,2,1,1
pro17,professional,movies,compassql,bfs,3. Prediction,-1,0,-1,1,-1,-2
pro26,professional,birdstrikes,dziban,bfs,2. Retrieve Value,0,1,0,1,0,0
stu5,student,birdstrikes,compassql,dfs,2. Retrieve Value,1,2,-1,1,-1,1
pro20,professional,movies,dziban,bfs,4. Exploration,0,0,-1,-1,-1,-1
stu28,student,birdstrikes,dziban,bfs,3. Prediction,0,1,0,0,-1,0
stu3,student,movies,compassql,dfs,4. Exploration,1,1,1,1,2,1
pro24,professional,movies,dziban,dfs,4. Exploration,1,1,1,1,1,2
stu17,student,movies,compassql,bfs,3. Prediction,2,2,1,1,2,1
stu21,student,movies,compassql,bfs,1. Find Extremum,1,1,1,1,1,1
stu13,student,movies,compassql,dfs,3. Prediction,1,1,0,1,0,1
pro15,professional,movies,dziban,bfs,1. Find Extremum,1,1,0,0,0,0
pro1,professional,birdstrikes,compassql,dfs,1. Find Extremum,0,2,-2,0,-2,-2
stu10,student,movies,compassql,dfs,4. Exploration,1,1,1,1,1,1
stu8,student,birdstrikes,compassql,bfs,1. Find Extremum,2,2,2,1,1,2
stu39,student,movies,dziban,dfs,1. Find Extremum,2,2,0,-1,0,0
stu26,student,movies,compassql,bfs,3. Prediction,1,1,0,1,1,1
stu15,student,movies,dziban,bfs,1. Find Extremum,0,2,-2,1,-2,2
stu16,student,birdstrikes,compassql,dfs,2. Retrieve Value,1,1,0,1,0,0
stu11,student,movies,dziban,dfs,1. Find Extremum,2,2,-1,1,-1,1
