"alg","dataset","diff_in_time",".lower",".upper",".width",".point",".interval","metric"
"dfs compassql - bfs dziban","movies",4.08598048790811,-30.7499677850023,37.146560455279,0.5,"mean","qi","2. Retrieve Value"
"dfs dziban - bfs compassql","birdstrikes",23.8907385091187,-12.4377432256333,57.7814850277259,0.5,"mean","qi","2. Retrieve Value"
"dfs dziban - bfs compassql","movies",3.61926848258862,-26.4428904607997,33.9898337337052,0.5,"mean","qi","2. Retrieve Value"
"dfs dziban - bfs dziban","birdstrikes",-14.1406718121377,-49.2644936966656,20.4446618691899,0.5,"mean","qi","2. Retrieve Value"
"dfs dziban - bfs dziban","movies",-22.4717347337193,-53.6905948508341,8.58569032016252,0.5,"mean","qi","2. Retrieve Value"
"dfs dziban - dfs compassql","birdstrikes",14.2045726343002,-18.9622387807018,47.5563203407755,0.5,"mean","qi","2. Retrieve Value"
"dfs dziban - dfs compassql","movies",-26.5577152216274,-58.408689635034,5.14573466036109,0.5,"mean","qi","2. Retrieve Value"
"bfs dziban - bfs compassql","birdstrikes",3.62595835393572,-198.196241968627,206.571910950154,0.95,"mean","qi","3. Prediction"
"bfs dziban - bfs compassql","movies",124.306514735197,-110.305487861948,359.286130487785,0.95,"mean","qi","3. Prediction"
"dfs compassql - bfs compassql","birdstrikes",223.525882396642,-12.1168612212854,470.803668327412,0.95,"mean","qi","3. Prediction"
"dfs compassql - bfs compassql","movies",279.199812744783,17.0506784850274,565.22876004845,0.95,"mean","qi","3. Prediction"
"dfs compassql - bfs dziban","birdstrikes",219.899924042706,-52.1603243147021,501.737700476405,0.95,"mean","qi","3. Prediction"
"dfs compassql - bfs dziban","movies",154.893298009586,-154.742473466917,463.139476450795,0.95,"mean","qi","3. Prediction"
"dfs dziban - bfs compassql","birdstrikes",50.011772133823,-172.620963271234,288.068372241846,0.95,"mean","qi","3. Prediction"
"dfs dziban - bfs compassql","movies",68.0756122358342,-175.864141911231,307.36282272596,0.95,"mean","qi","3. Prediction"
"dfs dziban - bfs dziban","birdstrikes",46.3858137798872,-177.126304961608,274.959485966444,0.95,"mean","qi","3. Prediction"
"dfs dziban - bfs dziban","movies",-56.2309024993627,-301.638414450929,197.398805071957,0.95,"mean","qi","3. Prediction"
"dfs dziban - dfs compassql","birdstrikes",-173.514110262819,-451.923594525691,87.4444730126753,0.95,"mean","qi","3. Prediction"
"dfs dziban - dfs compassql","movies",-211.124200508948,-498.581288304166,66.3969259135257,0.95,"mean","qi","3. Prediction"
"bfs dziban - bfs compassql","birdstrikes",3.62595835393572,-64.760761312507,70.5422787982261,0.5,"mean","qi","3. Prediction"
"bfs dziban - bfs compassql","movies",124.306514735197,45.7796702215333,200.83355491809,0.5,"mean","qi","3. Prediction"
"dfs compassql - bfs compassql","birdstrikes",223.525882396642,139.375561946284,308.328621179769,0.5,"mean","qi","3. Prediction"
"dfs compassql - bfs compassql","movies",279.199812744783,185.431950815388,366.804926957894,0.5,"mean","qi","3. Prediction"
"dfs compassql - bfs dziban","birdstrikes",219.899924042706,128.189890631558,309.127700973452,0.5,"mean","qi","3. Prediction"
"dfs compassql - bfs dziban","movies",154.893298009586,55.8339635284565,252.501782069971,0.5,"mean","qi","3. Prediction"
"dfs dziban - bfs compassql","birdstrikes",50.011772133823,-30.8282232553745,126.196610270614,0.5,"mean","qi","3. Prediction"
"dfs dziban - bfs compassql","movies",68.0756122358342,-9.88530143557578,146.795285031206,0.5,"mean","qi","3. Prediction"
"dfs dziban - bfs dziban","birdstrikes",46.3858137798872,-30.1410338407477,121.611591334569,0.5,"mean","qi","3. Prediction"
"dfs dziban - bfs dziban","movies",-56.2309024993627,-139.128043296763,29.9419694603459,0.5,"mean","qi","3. Prediction"
"dfs dziban - dfs compassql","birdstrikes",-173.514110262819,-261.111699153556,-82.4651847159064,0.5,"mean","qi","3. Prediction"
"dfs dziban - dfs compassql","movies",-211.124200508948,-304.737446485046,-110.71225830663,0.5,"mean","qi","3. Prediction"
"bfs dziban - bfs compassql","birdstrikes",-60.7780170148955,-250.521009372318,122.170057088046,0.95,"mean","qi","4. Exploration"
"bfs dziban - bfs compassql","movies",-5.48251320512356,-215.744656505298,193.781183065904,0.95,"mean","qi","4. Exploration"
"dfs compassql - bfs compassql","birdstrikes",32.0799676179095,-170.217222257454,233.910219011114,0.95,"mean","qi","4. Exploration"
"dfs compassql - bfs compassql","movies",-110.822283012024,-303.612024270612,75.1191311194354,0.95,"mean","qi","4. Exploration"
"dfs compassql - bfs dziban","birdstrikes",92.857984632805,-109.883970170216,304.558418710742,0.95,"mean","qi","4. Exploration"
"dfs compassql - bfs dziban","movies",-105.339769806901,-295.850940499312,91.7079813065225,0.95,"mean","qi","4. Exploration"
"dfs dziban - bfs compassql","birdstrikes",30.8603972780082,-188.785829415997,250.251308407495,0.95,"mean","qi","4. Exploration"
"dfs dziban - bfs compassql","movies",-35.230981999553,-246.466868274169,169.104341276059,0.95,"mean","qi","4. Exploration"
"dfs dziban - bfs dziban","birdstrikes",91.6384142929037,-107.466379262744,297.713445995806,0.95,"mean","qi","4. Exploration"
"dfs dziban - bfs dziban","movies",-29.7484687944294,-228.087676201576,169.130770166609,0.95,"mean","qi","4. Exploration"
"dfs dziban - dfs compassql","birdstrikes",-1.21957033990131,-217.461649236715,221.512806149057,0.95,"mean","qi","4. Exploration"
"dfs dziban - dfs compassql","movies",75.5913010124711,-108.916306271335,260.792606347499,0.95,"mean","qi","4. Exploration"
"bfs dziban - bfs compassql","birdstrikes",-60.7780170148955,-124.289550872993,3.50880489594402,0.5,"mean","qi","4. Exploration"
"bfs dziban - bfs compassql","movies",-5.48251320512356,-73.0049573361756,65.0943186637034,0.5,"mean","qi","4. Exploration"
"dfs compassql - bfs compassql","birdstrikes",32.0799676179095,-35.7643186343393,99.8209021893409,0.5,"mean","qi","4. Exploration"
"dfs compassql - bfs compassql","movies",-110.822283012024,-173.4537442908,-45.5481921020071,0.5,"mean","qi","4. Exploration"
"dfs compassql - bfs dziban","birdstrikes",92.857984632805,21.3987040173334,160.509532858627,0.5,"mean","qi","4. Exploration"
"dfs compassql - bfs dziban","movies",-105.339769806901,-168.469131230493,-45.2310634018041,0.5,"mean","qi","4. Exploration"
"dfs dziban - bfs compassql","birdstrikes",30.8603972780082,-41.6029248576324,101.656150269341,0.5,"mean","qi","4. Exploration"
"dfs dziban - bfs compassql","movies",-35.230981999553,-106.90102508882,35.287243358716,0.5,"mean","qi","4. Exploration"
"dfs dziban - bfs dziban","birdstrikes",91.6384142929037,23.7339824280285,158.37477590321,0.5,"mean","qi","4. Exploration"
"dfs dziban - bfs dziban","movies",-29.7484687944294,-99.01531087727,38.0104294603339,0.5,"mean","qi","4. Exploration"
"dfs dziban - dfs compassql","birdstrikes",-1.21957033990131,-71.5206569670685,67.7251453870701,0.5,"mean","qi","4. Exploration"
"dfs dziban - dfs compassql","movies",75.5913010124711,12.1622641042115,138.424005538649,0.5,"mean","qi","4. Exploration"
