"oracle","metric","diff_in_time",".lower",".upper",".width",".point",".interval"
"dziban - compassql","4. Exploration",3.87483816333808,-161.775086309072,160.031641700912,0.95,"mean","qi"
"dziban - compassql","3. Prediction",-68.8297896330717,-262.669275465388,123.141664132021,0.95,"mean","qi"
"dziban - compassql","2. Retrieve Value",12.4393680091557,-63.2506213474767,92.0234140763725,0.95,"mean","qi"
"dziban - compassql","1. Find Extremum",-21.0241356800507,-118.787600430358,63.1531703091256,0.95,"mean","qi"
"dziban - compassql","4. Exploration",3.87483816333808,-49.4502781873188,59.1538441228199,0.5,"mean","qi"
"dziban - compassql","3. Prediction",-68.8297896330717,-132.291991757264,-4.69966094896583,0.5,"mean","qi"
"dziban - compassql","2. Retrieve Value",12.4393680091557,-13.6781084433101,38.4133215878272,0.5,"mean","qi"
"dziban - compassql","1. Find Extremum",-21.0241356800507,-50.6957194774203,10.6230505782177,0.5,"mean","qi"
