"oracle","dataset","task","difference",".lower",".upper",".width",".point",".interval"
"dziban - compassql","birdstrikes","3. Prediction",1.0038152492595,-2.85781098519478,4.94224011867991,0.95,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",1.10605431935346,-3.14674827658941,5.33492510030494,0.95,"mean","qi"
"dziban - compassql","movies","3. Prediction",1.18163376843097,-3.35429064911232,5.73580570681396,0.95,"mean","qi"
"dziban - compassql","movies","4. Exploration",1.30198621902893,-3.75988566834656,6.24960630562259,0.95,"mean","qi"
"dziban - compassql","birdstrikes","3. Prediction",1.0038152492595,-0.30150707399932,2.30408641104059,0.5,"mean","qi"
"dziban - compassql","birdstrikes","4. Exploration",1.10605431935346,-0.323926688010302,2.51617294006997,0.5,"mean","qi"
"dziban - compassql","movies","3. Prediction",1.18163376843097,-0.359156458634674,2.70423405204913,0.5,"mean","qi"
"dziban - compassql","movies","4. Exploration",1.30198621902893,-0.378888724276891,2.98032457932622,0.5,"mean","qi"
