"oracle","task","difference",".lower",".upper",".width",".point",".interval"
"dziban - compassql","3. Prediction",1.09272450884523,-3.08554985777229,5.31439503288127,0.95,"mean","qi"
"dziban - compassql","4. Exploration",1.2040202691912,-3.47625880538907,5.74991275224886,0.95,"mean","qi"
"dziban - compassql","3. Prediction",1.09272450884523,-0.331202570110798,2.49488767595515,0.5,"mean","qi"
"dziban - compassql","4. Exploration",1.2040202691912,-0.348548809765672,2.75332534411079,0.5,"mean","qi"
