"participant_id","dataset","oracle","search","task","completion_time","condition","task_type",".row","exp(.value)",".lower",".upper",".width",".point",".interval"
18,"birdstrikes","dziban","dfs","4. Exploration",898.077,"dziban_dfs","Open-Ended",36,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
18,"birdstrikes","dziban","dfs","4. Exploration",927.51,"dziban_dfs","Open-Ended",35,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
19,"movies","compassql","dfs","4. Exploration",102.94,"compassql_dfs","Focused",37,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
19,"movies","compassql","dfs","4. Exploration",196.136,"compassql_dfs","Focused",38,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
19,"movies","compassql","dfs","4. Exploration",595.448,"compassql_dfs","Open-Ended",40,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
19,"movies","compassql","dfs","4. Exploration",842.218,"compassql_dfs","Open-Ended",39,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
20,"birdstrikes","compassql","dfs","4. Exploration",170.561,"compassql_dfs","Focused",46,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
20,"birdstrikes","compassql","dfs","4. Exploration",286.541,"compassql_dfs","Open-Ended",47,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
20,"birdstrikes","compassql","dfs","4. Exploration",405.433,"compassql_dfs","Focused",45,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
20,"birdstrikes","compassql","dfs","4. Exploration",705.415,"compassql_dfs","Open-Ended",48,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
21,"birdstrikes","compassql","dfs","4. Exploration",242.337,"compassql_dfs","Focused",49,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
21,"birdstrikes","compassql","dfs","4. Exploration",386.503,"compassql_dfs","Focused",50,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
21,"birdstrikes","compassql","dfs","4. Exploration",886.577,"compassql_dfs","Open-Ended",52,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
21,"birdstrikes","compassql","dfs","4. Exploration",1229.062,"compassql_dfs","Open-Ended",51,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
22,"movies","dziban","bfs","4. Exploration",149.612,"dziban_bfs","Focused",53,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
22,"movies","dziban","bfs","4. Exploration",443.844,"dziban_bfs","Focused",54,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
22,"movies","dziban","bfs","4. Exploration",754.89,"dziban_bfs","Open-Ended",55,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
22,"movies","dziban","bfs","4. Exploration",956.825,"dziban_bfs","Open-Ended",56,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
23,"birdstrikes","compassql","dfs","4. Exploration",354.845,"compassql_dfs","Focused",58,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
23,"birdstrikes","compassql","dfs","4. Exploration",776.278,"compassql_dfs","Focused",57,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
23,"birdstrikes","compassql","dfs","4. Exploration",962.746,"compassql_dfs","Open-Ended",60,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
23,"birdstrikes","compassql","dfs","4. Exploration",993.777,"compassql_dfs","Open-Ended",59,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
24,"movies","compassql","bfs","4. Exploration",212.961,"compassql_bfs","Focused",61,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
24,"movies","compassql","bfs","4. Exploration",243.659,"compassql_bfs","Focused",62,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
24,"movies","compassql","bfs","4. Exploration",739.454,"compassql_bfs","Open-Ended",63,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
24,"movies","compassql","bfs","4. Exploration",902.994,"compassql_bfs","Open-Ended",64,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
25,"birdstrikes","dziban","dfs","4. Exploration",229.329,"dziban_dfs","Focused",65,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
25,"birdstrikes","dziban","dfs","4. Exploration",354.573,"dziban_dfs","Focused",66,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
25,"birdstrikes","dziban","dfs","4. Exploration",476.703,"dziban_dfs","Open-Ended",67,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
25,"birdstrikes","dziban","dfs","4. Exploration",729.704,"dziban_dfs","Open-Ended",68,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
26,"birdstrikes","dziban","bfs","4. Exploration",210.051,"dziban_bfs","Focused",69,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
26,"birdstrikes","dziban","bfs","4. Exploration",277.825,"dziban_bfs","Focused",70,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
26,"birdstrikes","dziban","bfs","4. Exploration",355.453,"dziban_bfs","Open-Ended",71,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
26,"birdstrikes","dziban","bfs","4. Exploration",568.648,"dziban_bfs","Open-Ended",72,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
27,"birdstrikes","dziban","bfs","4. Exploration",155.633,"dziban_bfs","Focused",74,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
27,"birdstrikes","dziban","bfs","4. Exploration",186.4,"dziban_bfs","Focused",73,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
27,"birdstrikes","dziban","bfs","4. Exploration",284.909,"dziban_bfs","Open-Ended",75,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
27,"birdstrikes","dziban","bfs","4. Exploration",1045.948,"dziban_bfs","Open-Ended",76,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
28,"birdstrikes","compassql","bfs","4. Exploration",180.459,"compassql_bfs","Focused",77,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
28,"birdstrikes","compassql","bfs","4. Exploration",238.401,"compassql_bfs","Focused",78,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
28,"birdstrikes","compassql","bfs","4. Exploration",617.546,"compassql_bfs","Open-Ended",79,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
28,"birdstrikes","compassql","bfs","4. Exploration",622.002,"compassql_bfs","Open-Ended",80,720.137407831837,589.650145551534,873.475845398878,0.95,"mean","qi"
29,"movies","compassql","bfs","4. Exploration",243.796,"compassql_bfs","Focused",81,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
29,"movies","compassql","bfs","4. Exploration",246.99,"compassql_bfs","Focused",82,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
29,"movies","compassql","bfs","4. Exploration",529.649,"compassql_bfs","Open-Ended",83,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
29,"movies","compassql","bfs","4. Exploration",985.296,"compassql_bfs","Open-Ended",84,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
30,"movies","dziban","dfs","4. Exploration",85.47,"dziban_dfs","Focused",90,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
30,"movies","dziban","dfs","4. Exploration",129.046,"dziban_dfs","Focused",89,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
30,"movies","dziban","dfs","4. Exploration",377.597,"dziban_dfs","Open-Ended",91,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
30,"movies","dziban","dfs","4. Exploration",722.775,"dziban_dfs","Open-Ended",92,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
31,"birdstrikes","dziban","dfs","4. Exploration",150.188,"dziban_dfs","Focused",94,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
31,"birdstrikes","dziban","dfs","4. Exploration",169.197,"dziban_dfs","Focused",93,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
31,"birdstrikes","dziban","dfs","4. Exploration",376.334,"dziban_dfs","Open-Ended",96,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
31,"birdstrikes","dziban","dfs","4. Exploration",390.969,"dziban_dfs","Open-Ended",95,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
32,"movies","compassql","bfs","4. Exploration",210.676,"compassql_bfs","Focused",97,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
32,"movies","compassql","bfs","4. Exploration",427.959,"compassql_bfs","Open-Ended",99,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
32,"movies","compassql","bfs","4. Exploration",522.845,"compassql_bfs","Focused",98,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
32,"movies","compassql","bfs","4. Exploration",762.361,"compassql_bfs","Open-Ended",100,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
33,"birdstrikes","dziban","bfs","4. Exploration",316.352,"dziban_bfs","Focused",101,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
33,"birdstrikes","dziban","bfs","4. Exploration",363.301,"dziban_bfs","Open-Ended",104,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
33,"birdstrikes","dziban","bfs","4. Exploration",385.035,"dziban_bfs","Focused",102,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
33,"birdstrikes","dziban","bfs","4. Exploration",610.181,"dziban_bfs","Open-Ended",103,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
34,"birdstrikes","dziban","dfs","4. Exploration",274.496,"dziban_dfs","Focused",105,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
34,"birdstrikes","dziban","dfs","4. Exploration",317.898,"dziban_dfs","Focused",106,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
34,"birdstrikes","dziban","dfs","4. Exploration",353.005,"dziban_dfs","Open-Ended",107,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
34,"birdstrikes","dziban","dfs","4. Exploration",632.996,"dziban_dfs","Open-Ended",108,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
35,"movies","compassql","bfs","4. Exploration",91.089,"compassql_bfs","Focused",110,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
35,"movies","compassql","bfs","4. Exploration",118.354,"compassql_bfs","Focused",109,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
35,"movies","compassql","bfs","4. Exploration",325.284,"compassql_bfs","Open-Ended",111,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
35,"movies","compassql","bfs","4. Exploration",440.362,"compassql_bfs","Open-Ended",112,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
36,"birdstrikes","compassql","dfs","4. Exploration",176.562,"compassql_dfs","Focused",113,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
36,"birdstrikes","compassql","dfs","4. Exploration",177.032,"compassql_dfs","Focused",114,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
36,"birdstrikes","compassql","dfs","4. Exploration",850.893,"compassql_dfs","Open-Ended",116,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
36,"birdstrikes","compassql","dfs","4. Exploration",1445.67,"compassql_dfs","Open-Ended",115,752.217375449746,610.493928600707,916.385639733213,0.95,"mean","qi"
37,"movies","dziban","bfs","4. Exploration",171.549,"dziban_bfs","Focused",117,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
37,"movies","dziban","bfs","4. Exploration",196.112,"dziban_bfs","Focused",118,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
37,"movies","dziban","bfs","4. Exploration",668.223,"dziban_bfs","Open-Ended",120,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
37,"movies","dziban","bfs","4. Exploration",732.332,"dziban_bfs","Open-Ended",119,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
38,"movies","compassql","bfs","4. Exploration",156.638,"compassql_bfs","Focused",122,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
38,"movies","compassql","bfs","4. Exploration",289.185,"compassql_bfs","Focused",121,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
38,"movies","compassql","bfs","4. Exploration",548.43,"compassql_bfs","Open-Ended",123,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
38,"movies","compassql","bfs","4. Exploration",859.345,"compassql_bfs","Open-Ended",124,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
39,"movies","compassql","bfs","4. Exploration",158.165,"compassql_bfs","Focused",126,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
39,"movies","compassql","bfs","4. Exploration",223.658,"compassql_bfs","Focused",125,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
39,"movies","compassql","bfs","4. Exploration",745.93,"compassql_bfs","Open-Ended",127,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
39,"movies","compassql","bfs","4. Exploration",907.191,"compassql_bfs","Open-Ended",128,746.095254137427,606.154336688449,905.914675952782,0.95,"mean","qi"
40,"birdstrikes","dziban","dfs","4. Exploration",235.069,"dziban_dfs","Focused",133,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
40,"birdstrikes","dziban","dfs","4. Exploration",241.323,"dziban_dfs","Focused",134,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
40,"birdstrikes","dziban","dfs","4. Exploration",821.641,"dziban_dfs","Open-Ended",136,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
40,"birdstrikes","dziban","dfs","4. Exploration",1401.57,"dziban_dfs","Open-Ended",135,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
41,"movies","dziban","bfs","4. Exploration",232.085,"dziban_bfs","Focused",137,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
41,"movies","dziban","bfs","4. Exploration",239.045,"dziban_bfs","Focused",138,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
41,"movies","dziban","bfs","4. Exploration",785.329,"dziban_bfs","Open-Ended",139,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
41,"movies","dziban","bfs","4. Exploration",895.906,"dziban_bfs","Open-Ended",140,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
42,"birdstrikes","dziban","bfs","4. Exploration",185.373,"dziban_bfs","Focused",141,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
42,"birdstrikes","dziban","bfs","4. Exploration",212.966,"dziban_bfs","Focused",142,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
42,"birdstrikes","dziban","bfs","4. Exploration",654.838,"dziban_bfs","Open-Ended",143,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
42,"birdstrikes","dziban","bfs","4. Exploration",749.451,"dziban_bfs","Open-Ended",144,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
43,"movies","dziban","bfs","4. Exploration",76.532,"dziban_bfs","Focused",145,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
43,"movies","dziban","bfs","4. Exploration",88.999,"dziban_bfs","Focused",146,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
43,"movies","dziban","bfs","4. Exploration",378.74,"dziban_bfs","Open-Ended",147,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
43,"movies","dziban","bfs","4. Exploration",493.578,"dziban_bfs","Open-Ended",148,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
44,"movies","dziban","bfs","4. Exploration",308.046,"dziban_bfs","Focused",150,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
44,"movies","dziban","bfs","4. Exploration",378.562,"dziban_bfs","Focused",149,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
44,"movies","dziban","bfs","4. Exploration",807.027,"dziban_bfs","Open-Ended",152,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
44,"movies","dziban","bfs","4. Exploration",847.375,"dziban_bfs","Open-Ended",151,740.612740932303,603.112305425417,893.805243502282,0.95,"mean","qi"
45,"movies","compassql","dfs","4. Exploration",169.317,"compassql_dfs","Focused",153,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
45,"movies","compassql","dfs","4. Exploration",352.708,"compassql_dfs","Focused",154,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
45,"movies","compassql","dfs","4. Exploration",434.847,"compassql_dfs","Open-Ended",156,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
45,"movies","compassql","dfs","4. Exploration",730.911,"compassql_dfs","Open-Ended",155,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
46,"movies","dziban","dfs","4. Exploration",87.353,"dziban_dfs","Focused",158,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
46,"movies","dziban","dfs","4. Exploration",127.562,"dziban_dfs","Focused",157,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
46,"movies","dziban","dfs","4. Exploration",595.914,"dziban_dfs","Open-Ended",159,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
46,"movies","dziban","dfs","4. Exploration",597.168,"dziban_dfs","Open-Ended",160,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
