"participant_id","dataset","oracle","search","task","completion_time","condition","task_type",".row","exp(.value)",".lower",".upper",".width",".point",".interval"
51,"movies","dziban","dfs","4. Exploration",348.954,"dziban_dfs","Open-Ended",183,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
51,"movies","dziban","dfs","4. Exploration",440.702,"dziban_dfs","Open-Ended",184,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
52,"birdstrikes","dziban","bfs","4. Exploration",380.652,"dziban_bfs","Focused",186,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
52,"birdstrikes","dziban","bfs","4. Exploration",417.279,"dziban_bfs","Focused",185,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
52,"birdstrikes","dziban","bfs","4. Exploration",548.394,"dziban_bfs","Open-Ended",188,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
52,"birdstrikes","dziban","bfs","4. Exploration",780.384,"dziban_bfs","Open-Ended",187,659.359390816941,537.897956662193,802.435456733026,0.95,"mean","qi"
53,"movies","dziban","dfs","4. Exploration",131.91,"dziban_dfs","Focused",189,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
53,"movies","dziban","dfs","4. Exploration",212.66,"dziban_dfs","Focused",190,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
53,"movies","dziban","dfs","4. Exploration",641.783,"dziban_dfs","Open-Ended",192,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
53,"movies","dziban","dfs","4. Exploration",664.562,"dziban_dfs","Open-Ended",191,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
54,"movies","dziban","dfs","4. Exploration",131.425,"dziban_dfs","Focused",193,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
54,"movies","dziban","dfs","4. Exploration",536.05,"dziban_dfs","Focused",194,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
54,"movies","dziban","dfs","4. Exploration",927.655,"dziban_dfs","Open-Ended",196,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
54,"movies","dziban","dfs","4. Exploration",1440.465,"dziban_dfs","Open-Ended",195,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
55,"movies","compassql","dfs","4. Exploration",154.328,"compassql_dfs","Focused",198,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
55,"movies","compassql","dfs","4. Exploration",180.368,"compassql_dfs","Focused",197,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
55,"movies","compassql","dfs","4. Exploration",410.176,"compassql_dfs","Open-Ended",200,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
55,"movies","compassql","dfs","4. Exploration",1061.322,"compassql_dfs","Open-Ended",199,635.272971125403,524.059605885317,766.305299797486,0.95,"mean","qi"
56,"movies","dziban","dfs","4. Exploration",173.295,"dziban_dfs","Focused",201,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
56,"movies","dziban","dfs","4. Exploration",225.553,"dziban_dfs","Focused",202,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
56,"movies","dziban","dfs","4. Exploration",665.856,"dziban_dfs","Open-Ended",203,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
56,"movies","dziban","dfs","4. Exploration",751.604,"dziban_dfs","Open-Ended",204,710.864272137874,580.673196655836,859.304907585307,0.95,"mean","qi"
57,"birdstrikes","dziban","dfs","4. Exploration",214.771,"dziban_dfs","Focused",205,750.997805109845,603.641510480887,925.880335900138,0.95,"mean","qi"
