participant_id,participant_group,dataset,oracle,search,task,completion_time
pro32,professional,birdstrikes,dziban,dfs,3. Prediction,791.848
pro32,professional,birdstrikes,dziban,dfs,4. Exploration,961.829
pro3,professional,movies,compassql,bfs,1. Find Extremum,142.886
pro3,professional,movies,compassql,bfs,2. Retrieve Value,189.975
pro3,professional,movies,compassql,bfs,3. Prediction,312.078
pro3,professional,movies,compassql,bfs,4. Exploration,459.426
pro4,professional,birdstrikes,compassql,bfs,1. Find Extremum,194.603
pro4,professional,birdstrikes,compassql,bfs,2. Retrieve Value,538.575
pro4,professional,birdstrikes,compassql,bfs,3. Prediction,988.753
pro4,professional,birdstrikes,compassql,bfs,4. Exploration,412.116
pro5,professional,movies,dziban,dfs,1. Find Extremum,378.739
pro5,professional,movies,dziban,dfs,2. Retrieve Value,374.719
pro5,professional,movies,dziban,dfs,3. Prediction,498.083
pro5,professional,movies,dziban,dfs,4. Exploration,880.304
pro6,professional,birdstrikes,dziban,bfs,1. Find Extremum,123.751
pro6,professional,birdstrikes,dziban,bfs,2. Retrieve Value,181.251
pro6,professional,birdstrikes,dziban,bfs,3. Prediction,382.749
pro6,professional,birdstrikes,dziban,bfs,4. Exploration,722.972
pro7,professional,birdstrikes,dziban,bfs,1. Find Extremum,307.67
pro7,professional,birdstrikes,dziban,bfs,2. Retrieve Value,241.958
pro7,professional,birdstrikes,dziban,bfs,3. Prediction,807.478
pro7,professional,birdstrikes,dziban,bfs,4. Exploration,441.893
pro8,professional,movies,compassql,dfs,1. Find Extremum,365.158
pro8,professional,movies,compassql,dfs,2. Retrieve Value,432.948
pro8,professional,movies,compassql,dfs,3. Prediction,671.747
pro8,professional,movies,compassql,dfs,4. Exploration,630.24
pro9,professional,movies,compassql,dfs,1. Find Extremum,158.68
pro9,professional,movies,compassql,dfs,2. Retrieve Value,103.418
pro9,professional,movies,compassql,dfs,3. Prediction,1025.924
pro9,professional,movies,compassql,dfs,4. Exploration,644.776
stu10,student,movies,compassql,dfs,1. Find Extremum,774.624
stu10,student,movies,compassql,dfs,2. Retrieve Value,286.29
stu10,student,movies,compassql,dfs,3. Prediction,977.202
stu10,student,movies,compassql,dfs,4. Exploration,908.271
stu11,student,movies,dziban,dfs,1. Find Extremum,124.763
stu11,student,movies,dziban,dfs,2. Retrieve Value,175.713
stu11,student,movies,dziban,dfs,3. Prediction,804.142
stu11,student,movies,dziban,dfs,4. Exploration,860.832
stu12,student,birdstrikes,dziban,dfs,1. Find Extremum,226.503
stu12,student,birdstrikes,dziban,dfs,2. Retrieve Value,152.353
stu12,student,birdstrikes,dziban,dfs,3. Prediction,413.259
stu12,student,birdstrikes,dziban,dfs,4. Exploration,1291.678
